Date,Total Transaction #,Total Transaction Fee (USD),Fee per Transaction (USD),Close Price (USD),Fee %
11/19/13,93322,18224.16541,0.195282628,645.69,0.0302%
11/18/13,73198,14739.1796,0.201360414,785.43,0.0256%
11/17/13,48041,6992.739513,0.145557743,528.3,0.0276%
11/16/13,51595,6693.578781,0.12973309,461.96,0.0281%
11/15/13,62100,7952.392352,0.128057848,433.92,0.0295%
11/14/13,70175,9969.119411,0.142060839,433.4,0.0328%
11/13/13,63151,9512.067706,0.150624182,434.85,0.0346%
11/12/13,58510,7112.279052,0.121556641,380.04,0.0320%
11/11/13,54558,21043.5296,0.385709329,362.98,0.1063%
11/10/13,57169,15583.85661,0.27259278,336.32,0.0811%
11/9/13,57804,31045.07683,0.537074888,367.79,0.1460%
11/8/13,59961,35223.37997,0.587438168,355,0.1655%
11/7/13,58631,34438.50811,0.587377123,309.65,0.1897%
11/6/13,55035,30567.66151,0.555422213,264.1,0.2103%
11/5/13,51134,11626.15459,0.227366421,251.3,0.0905%
11/4/13,42094,15167.14529,0.360316085,238.16,0.1513%
11/3/13,35815,5165.863837,0.144237438,224,0.0644%
11/2/13,41179,4873.233362,0.118342683,211.69,0.0559%
11/1/13,48306,7195.298974,0.14895249,213.43,0.0698%
10/31/13,56476,6055.415918,0.107221048,211.17,0.0508%
10/30/13,47911,7746.719595,0.161689791,208,0.0777%
10/29/13,51237,5284.465045,0.103137675,216,0.0477%
10/28/13,48635,8585.901698,0.176537508,206.9,0.0853%
10/27/13,44388,8325.154206,0.187554163,206.91,0.0906%
10/26/13,49353,9643.898037,0.195406521,188.56,0.1036%
10/25/13,59853,8079.645097,0.134991481,197.88,0.0682%
10/24/13,63265,9645.665106,0.152464477,206.98,0.0737%
10/23/13,54572,7333.206582,0.134376724,227.97,0.0589%
10/22/13,64906,7992.032647,0.123132417,202.99,0.0607%
10/21/13,58142,6521.483498,0.11216476,192.78,0.0582%
10/20/13,49864,4622.564482,0.092703443,186.1,0.0498%
10/19/13,54639,5912.664895,0.108213271,183.15,0.0591%
10/18/13,60446,6857.817032,0.113453612,168.28,0.0674%
