time,close,high,low,open,time,volumefrom,volumeto
2018-02-25 16:00:00,0.8882,0.892,0.886,0.89,2018-02-25 16:00:00,1641514.53,1459622.45
2018-02-25 17:00:00,0.8867,0.8903,0.8837,0.8882,2018-02-25 17:00:00,803636.0,712607.43
2018-02-25 18:00:00,0.8929,0.8939,0.8825,0.8867,2018-02-25 18:00:00,1472116.44,1307283.08
2018-02-25 19:00:00,0.8963,0.9045,0.8904,0.8928,2018-02-25 19:00:00,2911244.98,2621439.91
2018-02-25 20:00:00,0.9036,0.9084,0.895,0.8963,2018-02-25 20:00:00,2690781.42,2426141.15
2018-02-25 21:00:00,0.9031,0.9068,0.8996,0.9036,2018-02-25 21:00:00,2593612.66,2338228.65
2018-02-25 22:00:00,0.911,0.9135,0.8997,0.9031,2018-02-25 22:00:00,1393290.38,1264186.98
2018-02-25 23:00:00,0.9012,0.9111,0.9002,0.911,2018-02-25 23:00:00,1388726.24,1257603.77
2018-02-26 00:00:00,0.9016,0.9044,0.8984,0.9014,2018-02-26 00:00:00,717635.93,647401.17
2018-02-26 01:00:00,0.9047,0.9108,0.9016,0.9016,2018-02-26 01:00:00,1515302.9,1372061.23
2018-02-26 02:00:00,0.9053,0.9086,0.9022,0.9047,2018-02-26 02:00:00,2317493.34,2096794.4
2018-02-26 03:00:00,0.8954,0.9064,0.8949,0.9053,2018-02-26 03:00:00,1529150.05,1374128.27
2018-02-26 04:00:00,0.8972,0.8975,0.8923,0.8954,2018-02-26 04:00:00,1680131.01,1501597.26
2018-02-26 05:00:00,0.893,0.8978,0.8911,0.8972,2018-02-26 05:00:00,1258196.97,1124154.47
2018-02-26 06:00:00,0.8801,0.8931,0.8798,0.8931,2018-02-26 06:00:00,3024575.42,2682151.86
2018-02-26 07:00:00,0.8854,0.8855,0.8798,0.8801,2018-02-26 07:00:00,2364380.57,2088789.45
2018-02-26 08:00:00,0.8816,0.8855,0.8756,0.8854,2018-02-26 08:00:00,2579267.06,2269617.28
2018-02-26 09:00:00,0.8872,0.89,0.8803,0.8816,2018-02-26 09:00:00,1904703.81,1689000.75
2018-02-26 10:00:00,0.9007,0.9044,0.8838,0.8872,2018-02-26 10:00:00,1976175.81,1771003.12
2018-02-26 11:00:00,0.9062,0.9102,0.8991,0.9006,2018-02-26 11:00:00,4736133.34,4285256.88
2018-02-26 12:00:00,0.9135,0.9135,0.8981,0.9061,2018-02-26 12:00:00,2386324.12,2162765.86
2018-02-26 13:00:00,0.9267,0.9377,0.913,0.9135,2018-02-26 13:00:00,10063882.66,9335408.83
2018-02-26 14:00:00,0.9271,0.9415,0.9249,0.9267,2018-02-26 14:00:00,5239218.21,4895163.14
